Name,Country,Year
Robert David Webster,United States of America,1960 Summer Olympics
Richard Carroll Conner,United States of America,1956 Summer Olympics
Robert Haigh,Australia,
Moss Christie,Australia,
Danni Roche,Australia,
Michael Grenda,Australia,
Ian Millar,Canada,1972 Summer Olympics
Johanna Almgren,Sweden,2008 Summer Olympics
Hanna Zajc,Sweden,2008 Summer Olympics
Irene MacDonald,Canada,1956 Summer Olympics
Martin Tešovic,Slovakia,2008 Summer Olympics
Heike Fischer,Germany,2008 Summer Olympics
Timothy Berrett,Canada,2008 Summer Olympics
Melissa Tancredi,Canada,2008 Summer Olympics
Connor Grimes,Canada,2008 Summer Olympics
Trent McClenahan,Australia,2008 Summer Olympics
Leith Brodie,Australia,2008 Summer Olympics
Ramunas Šiškauskas,Lithuania,2000 Summer Olympics
Michael Redd,United States of America,2008 Summer Olympics
Melanie  Roach,United States of America,2008 Summer Olympics
Dustin Jonas,United States of America,2008 Summer Olympics
Milena Duchková,Czechoslovakia,1972 Summer Olympics
Vladimir Vasin,Soviet Union,1972 Summer Olympics
Laura Ludwig,Germany,2008 Summer Olympics
Brita Baldus,Germany,1992 Summer Olympics
Tiffany Ross-Williams,United States of America,2008 Summer Olympics
Juan Botella,Mexico,1960 Summer Olympics
Velma Dunn,United States of America,1936 Summer Olympics
Sally Barkow,United States of America,2008 Summer Olympics
Steve Mocco,United States of America,2008 Summer Olympics
Pierre Browne,Canada,2008 Summer Olympics
Trisha Fallon,Australia,
Wyatt Allen,United States of America,2008 Summer Olympics
Gintaras Krapikas,Lithuania,
Samantha Reid,Australia,2008 Summer Olympics
Gabriella Fagundez,Sweden,2008 Summer Olympics
Alexandra Komarnycky,Canada,2008 Summer Olympics
Stephanie Cox,United States of America,2008 Summer Olympics
Matthew Emmons,United States of America,2008 Summer Olympics
Khatuna Lorig,United States of America,2008 Summer Olympics
Nathaniel Miller,Canada,2008 Summer Olympics
Joy Fawcett,United States of America,2000 Summer Olympics
Jennifer Yee,Canada,2008 Summer Olympics
Angie Bainbridge,Australia,2008 Summer Olympics
Augusto Midana,Guinea-Bissau,2008 Summer Olympics
Johan Sauer,Canada,2008 Summer Olympics
Jalmar Sjöberg,Sweden,2008 Summer Olympics
Jin Jong-Oh,South Korea,2004 Summer Olympics
Yoon Jin-Hee,South Korea,2008 Summer Olympics
Kim St-Pierre,Canada,2010 Winter Olympics
Hyun-Jung Joo,South Korea,2008 Summer Olympics
Paola Suárez,Argentina,2004 Summer Olympics
Abhinav Bindra,India,2008 Summer Olympics
Jackeline Rentería,Colombia,2008 Summer Olympics
Bair Badënov,Russia,2008 Summer Olympics
Viktors Šcerbatihs,Latvia,2008 Summer Olympics
Sandra Izbasa,Romania,2008 Summer Olympics
Seyedmorad Mohammadi,Iran,2008 Summer Olympics
Erinn Smart,United States of America,2008 Summer Olympics
Khasan Baroev,Russia,2008 Summer Olympics
Ralph Metcalfe,United States of America,1936 Summer Olympics
Hrysopiyí Devetzí,Greece,2004 Summer Olympics
Ekaterina Karsten,Belarus,1996 Summer Olympics
Richard Ducroz,France,2010 Winter Olympics
Maciej Ustynowicz,Poland,2010 Winter Olympics
Madara Liduma,Latvia,2010 Winter Olympics
Eva-Maria Brem,Austria,2010 Winter Olympics
Nina Reithmayer,Austria,2010 Winter Olympics
Renate Groenewold,Netherlands,2010 Winter Olympics
Timo Antila,Finland,2010 Winter Olympics
Chloe  Georges,France,2010 Winter Olympics
Liang Wenhao,China,2010 Winter Olympics
Brett Camerota,United States of America,2010 Winter Olympics
Anna Bogaliy-Titovets,Russia,2010 Winter Olympics
Evgeny Abramenko,Belarus,2010 Winter Olympics
Marie Dorin,France,2010 Winter Olympics
Linda Välimäki,Finland,2010 Winter Olympics
Regina Mader,Austria,2010 Winter Olympics
Horace Johnson,England,1920 Summer Olympics
Ludmila Privivkova,Russia,2010 Winter Olympics
Milos Savic,Serbia,2010 Winter Olympics
Marcelo Arriagada,Chile,2004 Summer Olympics
Steve Redgrave,United Kingdom,1984 Summer Olympics
Dijana Ravnikar,Slovenia,2010 Winter Olympics
Maelle Ricker,Canada,2010 Winter Olympics
Steven Nyman,United States of America,2010 Winter Olympics
Ben Griffin,New Zealand,2010 Winter Olympics
Maria Belen Simari Birkner,Argentina,2010 Winter Olympics
Michaela Matejova,Slovakia,2010 Winter Olympics
Khash-Erdene Khurelbataar,Mongolia,2010 Winter Olympics
Mihaela Chiras,Romania,2010 Winter Olympics
Erik Johnson,United States of America,2010 Winter Olympics
Sergei Maitakov,Russia,2010 Winter Olympics
Bengt Walden,United States of America,2010 Winter Olympics
Svetlana Terenteva,Russia,2010 Winter Olympics
Simon Cho,United States of America,2010 Winter Olympics
Ville Peltonen,Finland,2010 Winter Olympics
Heather McPhie,United States of America,2010 Winter Olympics
Svetlana Sleptsova,Russia,2010 Winter Olympics
Jeong Gyeongmi,South Korea,2008 Summer Olympics
Dmitriy Karpov,Kazakhstan,2004 Summer Olympics
Lucious Jackson,United States of America,1964 Summer Olympics
Nikita Lobintsev,Russia,2008 Summer Olympics
Alexander Grimm,Germany,2008 Summer Olympics
Julien Pillet,France,2008 Summer Olympics
Svetlana Feofanova,Russia,2008 Summer Olympics
Hrysopiyí Devetzí,Greece,2008 Summer Olympics
Giovanni Pellielo,Italy,2004 Summer Olympics
Scott Fortune,United States of America,1992 Summer Olympics
Anders Johnson,United States of America,2006 Winter Olympics
Christine Boudrias,Canada,1994 Winter Olympics
Nicola Rodigari,Italy,2006 Winter Olympics
Casey  Puckett,United States of America,1994 Winter Olympics
Shiho Nakashima,Japan,2006 Winter Olympics
Angela Ruggiero,United States of America,2006 Winter Olympics
Scott Gomez,United States of America,2006 Winter Olympics
Christoph Schubert,Germany,2006 Winter Olympics
Kim Hyun-Ki,South Korea,1998 Winter Olympics
George O'Day,United States of America,1960 Summer Olympics
Patrick Jonker,,1992 Summer Olympics
Igor González de Galdeano,Spain,2004 Summer Olympics
Harry Lodge,,1988 Summer Olympics
Peter Vonhof,,1976 Summer Olympics
Edi Ziegler,,1952 Summer Olympics
Ian Browne,,1956 Summer Olympics
Preben Esaksson,,1964 Summer Olympics
Caroline Alexander,,2000 Summer Olympics
Michael Greis,Germany,2006 Winter Olympics
Mats Larsson,Sweden,2006 Winter Olympics
Louis Trousselier,France,1900 Summer Olympics
Mark Grimmette,United States of America,1998 Winter Olympics
John Allis,,1968 Summer Olympics
Dino Bruni,,1952 Summer Olympics
Kristin Armstrong,United States of America,2004 Summer Olympics
Nikola Nimac,Croatia,2006 Winter Olympics
Kristin Størmer Steira,Norway,2006 Winter Olympics
Miguel Martinez,,2000 Summer Olympics
Michael Haas,Germany,2008 Summer Olympics
Mia Hamm,United States of America,2004 Summer Olympics
Kenenisa Bekele,Ethiopia,2008 Summer Olympics
Douglas Partie,United States of America,1992 Summer Olympics
Lin Dan,China,2008 Summer Olympics
Svetlana Feofanova,Russia,2004 Summer Olympics
Fernanda Oliveira,Brazil,2008 Summer Olympics
Ellie Faulkner,United Kingdom,2012 Summer Olympics
Andranik Hakobyan,Armenia,2012 Summer Olympics
Thierry Omeyer,France,2012 Summer Olympics
Ilya Korotkov,Russia,2012 Summer Olympics
Marie-Pier Beaudet,Canada,2012 Summer Olympics
Sergio Sanchez,Guatemala,2012 Summer Olympics
Keli Smith Puzo,United States of America,2012 Summer Olympics
Alexander López,Honduras,2012 Summer Olympics
Valentina Vezzali,Italy,2012 Summer Olympics
Omar Simmonds,Panama,2012 Summer Olympics
Richard Schuil,Netherlands,2012 Summer Olympics
Niccolò Ferrari,Italy,2012 Summer Olympics
Royston Drenthe,Netherlands,2008 Summer Olympics
,Argentina,2012 Summer Olympics
Dailenys Alcántara,Cuba,2012 Summer Olympics
Faustine Mussa,Tanzania,2012 Summer Olympics
Mujinga Kambundji,Switzerland,2012 Summer Olympics
Guram Pherselidze,Georgia,2012 Summer Olympics
Brandi Jacobson Prentice,Canada,2012 Summer Olympics
Hansle Parchment,Jamaica,2012 Summer Olympics
Sylwia Bogacka,Poland,2012 Summer Olympics
Vitaly Fridzon,Russia,2012 Summer Olympics
Schillonie Calvert,Jamaica,2012 Summer Olympics
Óscar Molina,Mexico,2012 Summer Olympics
Richard Weinberger,Canada,2012 Summer Olympics
Krists Straume,Latvia,2012 Summer Olympics
Yelena Vystropova,Azerbaijan,2012 Summer Olympics
,Finland,2012 Summer Olympics
Sarah Wells,Canada,2012 Summer Olympics
Tian Liang,China,2012 Summer Olympics
Ahmet Akdilek,Turkey,2012 Summer Olympics
Caryn Davies,United States of America,2012 Summer Olympics
Laura Salminen,Finland,2012 Summer Olympics
Marcel Marcilloux,France,2012 Summer Olympics
Sergio Luis Henao,Colombia,2012 Summer Olympics
Choi Ki Ho,Hong Kong,2012 Summer Olympics
Byron Guama,Ecuador,2012 Summer Olympics
Dianelys Perez,Cuba,2012 Summer Olympics
Marc Willers,New Zealand,2012 Summer Olympics
James Espey,Ireland,2012 Summer Olympics
Viola Kibiwot,Kenya,2012 Summer Olympics
Janine Berger,Germany,2012 Summer Olympics
Robyn de Groot,South Africa,2012 Summer Olympics
Jessica Steffens,United States of America,2012 Summer Olympics
Mayra Aguiar,Brazil,2012 Summer Olympics
Kirill Denisov,Russia,2012 Summer Olympics
Denis Kaliberda,Germany,2012 Summer Olympics
Dieudonne Dolassem,Cameroon,2012 Summer Olympics
Fang Yuting,China,2012 Summer Olympics
Maximiliano Richeze,Argentina,2012 Summer Olympics
Nick Willis,New Zealand,2012 Summer Olympics
Daulet Shabanbay,Kazakhstan,2012 Summer Olympics
Mariya Liver,Ukraine,2012 Summer Olympics
Artem Khadjibekov,Russia,2012 Summer Olympics
Evelyn dos Santos,Brazil,2012 Summer Olympics
Liviu Dumitrescu-Lazar,Romania,2012 Summer Olympics
Shaun Dhillion,Canada,2012 Summer Olympics
Tirunesh Dibaba,Ethiopia,2012 Summer Olympics
Karin Mortensen,Denmark,2012 Summer Olympics
Guo Shuang,China,2012 Summer Olympics
Federico Pizarro,Argentina,2012 Summer Olympics
Pang Jiaying,China,2012 Summer Olympics
Tatyana Lebedeva,Russia,2012 Summer Olympics
Petar Muslim,Croatia,2012 Summer Olympics
Ryo Yamamoto,Japan,2012 Summer Olympics
Andrea Foglia Costa,Uruguay,2012 Summer Olympics
Irina Begu,Romania,2012 Summer Olympics
Víctor Sada,Spain,2012 Summer Olympics
Ksenia Dudkina,Russia,2012 Summer Olympics
Ekaterina Timofeyeva,Belarus,2012 Summer Olympics
Ahmed El-Shenawy,Egypt,2012 Summer Olympics
Lee Beom-Young,South Korea,2012 Summer Olympics
Matti Mattsson,Finland,2012 Summer Olympics
Joanna Rowsell,United Kingdom,2012 Summer Olympics
Gonzalo Peillat,Argentina,2012 Summer Olympics
Hannah Every-Hall,Australia,2012 Summer Olympics
le Quoc Toan Tran,Vietnam,2012 Summer Olympics
Jared Tallent,Australia,2012 Summer Olympics
Mariangela Perrupato,Italy,2012 Summer Olympics
Spyridon Gianniotis,Greece,2012 Summer Olympics
Jeffrey Hunt,Australia,2012 Summer Olympics
Martin Hollstein,Germany,2012 Summer Olympics
Sam Hazewinkel,United States of America,2012 Summer Olympics
Kim Chang-Soo,South Korea,2012 Summer Olympics
Cheng Wen,China,2012 Summer Olympics
Issam Tej,Tunisia,2012 Summer Olympics
Julián Sánchez,Mexico,2012 Summer Olympics
Kathleen Macleod,Australia,2012 Summer Olympics
Kenrick Monk,Australia,2012 Summer Olympics
Mohammad Bagheri,Iran,2012 Summer Olympics
Alex Quinonez,Ecuador,2012 Summer Olympics
Aiga Grabuste,Latvia,2012 Summer Olympics
Antonio Ciano,Italy,2012 Summer Olympics
Hernán Jasen,Argentina,2012 Summer Olympics
Lucy Jaramillo,Ecuador,2012 Summer Olympics
Ioannis Drymonakos,Greece,2012 Summer Olympics
Eran Sela,Israel,2012 Summer Olympics
Steve Guerdat,Switzerland,2012 Summer Olympics
Ioana Rotaru,Romania,2012 Summer Olympics
Yulianna Zhalniaruk,Belarus,2012 Summer Olympics
Stephane Christidis,France,2012 Summer Olympics
Gojko Pijetlovic,Serbia,2012 Summer Olympics
Tugçe Sahutoglu,Turkey,2012 Summer Olympics
Jang Soo Ji,South Korea,2012 Summer Olympics
Hugues Fournel,Canada,2012 Summer Olympics
Sven Knipphals,Germany,2012 Summer Olympics
,Montenegro,2012 Summer Olympics
Danielle Lopez,Canada,2012 Summer Olympics
Timo Boll,Germany,2012 Summer Olympics
Natalya Nazarova,Russia,2012 Summer Olympics
Emilia Fahlin,Sweden,2012 Summer Olympics
Roberta Bianconi,Italy,2012 Summer Olympics
Sara Bertolasi,Italy,2012 Summer Olympics
Martina Emanuel,United Kingdom,2012 Summer Olympics
Gulnara Samitova,Russia,2012 Summer Olympics
Lyn Byl,United Kingdom,2012 Summer Olympics
Renato Rezende,Brazil,2012 Summer Olympics
Maaike Caelers,Netherlands,2012 Summer Olympics
Paulette Zang-Milama,Gabon,2012 Summer Olympics
Oludamola Osayomi,Nigeria,2012 Summer Olympics
Yerkebulan Kossayev,Kazakhstan,2012 Summer Olympics
Julen Aguinagalde,Spain,2012 Summer Olympics
Georgina Geikie,United Kingdom,2012 Summer Olympics
Siril Helljesen,Norway,2012 Summer Olympics
Aliya Garayeva,Azerbaijan,2012 Summer Olympics
Elisa Rigaudo,Italy,2012 Summer Olympics
Irene Montrucchio,Spain,2012 Summer Olympics
Andja Jelavic,Croatia,2012 Summer Olympics
Kamila Socko,Poland,2012 Summer Olympics
Evgeni Orlov,Ukraine,2012 Summer Olympics
Alexandru Siriteanu,Romania,2012 Summer Olympics
Jehue Gordon,Trinidad and Tobago,2012 Summer Olympics
Aurelie Halbwachs,Mauritius,2012 Summer Olympics
Ryan Cochrane,Canada,2012 Summer Olympics
Chay Lapin,United States of America,2012 Summer Olympics
Omar Pinzón,Colombia,2012 Summer Olympics
Ondrej Cink,Czech Republic,2012 Summer Olympics
,Togo,2012 Summer Olympics
Valeria Maksyuta,Israel,2012 Summer Olympics
Nicola Zagame,Australia,2012 Summer Olympics
Verónica Cuadrado,Spain,2012 Summer Olympics
Lenka Hykova,Czech Republic,2012 Summer Olympics
Cheng Shao-Chieh,Taiwan,2012 Summer Olympics
Austin Smith,South Africa,2012 Summer Olympics
Daina Gudzineviciute,Lithuania,2012 Summer Olympics
Moshad Alamiyan,Iran,2012 Summer Olympics
Toby Ng,Canada,2012 Summer Olympics
Natalia Duco,Chile,2012 Summer Olympics
Jennifer Pinches,United Kingdom,2012 Summer Olympics
Sin Chol-Bom,North Korea,2012 Summer Olympics
Christophe Guenot,France,2012 Summer Olympics
Karin Donckers,Belgium,2012 Summer Olympics
Laura Robson,United Kingdom,2012 Summer Olympics
,Norway,2012 Summer Olympics
Peter López,Peru,2012 Summer Olympics
Harald Ambros,Austria,2012 Summer Olympics
Arezoo Hakimi,Iran,2012 Summer Olympics
Peter Wilson,United Kingdom,2012 Summer Olympics
Igor Tikhomirov,Canada,2012 Summer Olympics
Ruben Lopez,Spain,2012 Summer Olympics
Alin Alexuc,Romania,2012 Summer Olympics
Sofya  Ochigava,Russia,2012 Summer Olympics
Tetteh Sulemanu,Ghana,2012 Summer Olympics
Rory Warlow,United Kingdom,2012 Summer Olympics
Nery Mantey Niangkouara,Greece,2012 Summer Olympics
Stephanie Proud,United Kingdom,2012 Summer Olympics
Dean Couzins,New Zealand,2012 Summer Olympics
Hana Klapalová,Czech Republic,2012 Summer Olympics
Valeria Sorokina,Russia,2012 Summer Olympics
Leah Mariem Lorraine Callahan,Canada,2012 Summer Olympics
Jaromír Ježek,Czech Republic,2012 Summer Olympics
Esthera Petre,Romania,2012 Summer Olympics
László Nagy,Hungary,2012 Summer Olympics
Isabelle Yacoubou,France,2012 Summer Olympics
Jiang Kelu,China,2012 Summer Olympics
Sadio Mané,Senegal,2012 Summer Olympics
Anu Nieminen,Finland,2012 Summer Olympics
Daniel Michan Halbinger,Mexico,2012 Summer Olympics
Anton Zakharov,Ukraine,2012 Summer Olympics
Raidel Acea,Cuba,2012 Summer Olympics
Yang Junjing,China,2012 Summer Olympics
Leevan Sands,Bahamas,2012 Summer Olympics
Gediminas Bagdonas,Lithuania,2012 Summer Olympics
Jonathan Borlée,Belgium,2012 Summer Olympics
Benson Gicharu Njangiru,Kenya,2012 Summer Olympics
Charlotte Becker,Germany,2012 Summer Olympics
Sherif Farrag,Egypt,2012 Summer Olympics
Milcah Chemos Cheywa,Kenya,2012 Summer Olympics
Daniel Bluman,Colombia,2012 Summer Olympics
Isiah Kiplangat Koech,Kenya,2012 Summer Olympics
Larrissa Miller,Australia,2012 Summer Olympics
Wendy Holst Larsen,Denmark,2012 Summer Olympics
Fernanda da Silva,Brazil,2012 Summer Olympics
Dalia El-Gebaly,Egypt,2012 Summer Olympics
Federico Fernandez,Mexico,2004 Summer Olympics
Jose Cristobal,Mexico,2012 Summer Olympics
Artem Dyatlov,Uzbekistan,2012 Summer Olympics
Sun Jie,China,2012 Summer Olympics
Aurélie Malaussena,France,2012 Summer Olympics
Margarita Matsko,Kazakhstan,2012 Summer Olympics
Sergey Kucherov,Russia,2012 Summer Olympics
Sultan Mubarak Al-Dawoodi,Saudi Arabia,2012 Summer Olympics
Ivana Španovic,Serbia,2012 Summer Olympics
Brett Fraser,Cayman Islands,2012 Summer Olympics
Daria Vdovina,Russia,2012 Summer Olympics
Tina Flognman,Sweden,2012 Summer Olympics
Sabrina Jaquet,Switzerland,2012 Summer Olympics
Robert Moore,United Kingdom,2012 Summer Olympics
Nihan Kantarci,Turkey,2012 Summer Olympics
Daryna Zevina,Ukraine,2012 Summer Olympics
Han Song-Yi,South Korea,2012 Summer Olympics
Adrienne Iven,Cameroon,2012 Summer Olympics
Park Chu-Young,South Korea,2012 Summer Olympics
Zaneta Glanc,Poland,2012 Summer Olympics
Moe Kaifuchi,Japan,2012 Summer Olympics
Marcos Aoás Corrêa,Brazil,2012 Summer Olympics
Julien Benneteau,France,2012 Summer Olympics
Lauren Sesselmann,Canada,2012 Summer Olympics
Kim Deok-Hyeon,South Korea,2012 Summer Olympics
Erica Morningstar,Canada,2012 Summer Olympics
Max Mirnyi,Belarus,2012 Summer Olympics
Wakako Tabata,Japan,2012 Summer Olympics
Daisuke Suzuki,Japan,2012 Summer Olympics
Petra Kulichová,Czech Republic,2012 Summer Olympics
Sara Ramirez,Spain,2012 Summer Olympics
Yoon Kyung-Min,South Korea,2000 Summer Olympics
Peter Waterfield,United Kingdom,2012 Summer Olympics
Myriam Soumaré,France,2012 Summer Olympics
Kanako Watanabe,Japan,2012 Summer Olympics
Irina Konstantinova-Bontemps,Bulgaria,2012 Summer Olympics
Muhammad Waqas Sharif,Pakistan,2012 Summer Olympics
Rachid Azzedine,France,2012 Summer Olympics
Shinshiro Yukiya,Japan,2012 Summer Olympics
Sabine Zimmer,Germany,2012 Summer Olympics
Kei Nishikori,Japan,2012 Summer Olympics
Hiroyuki Nakano,Japan,2012 Summer Olympics
Gerald Phiri,Zambia,2012 Summer Olympics
Denis Spicka,Czech Republic,2012 Summer Olympics
Lucía Castañeda,Nicaragua,2012 Summer Olympics
Daniel Clark,United Kingdom,2012 Summer Olympics
Chris Mears,United Kingdom,2012 Summer Olympics
Marcin Lewandowski,Poland,2012 Summer Olympics
Lukáš Melich,Czech Republic,2012 Summer Olympics
Celine Wilde,Germany,2012 Summer Olympics
Beth Tweddle,United Kingdom,2012 Summer Olympics
Valerio Aspromonte,Italy,2012 Summer Olympics
Mary Spencer,Canada,2012 Summer Olympics
Andreas Dibowski,Germany,2008 Summer Olympics
Chris Lamont,United Kingdom,2012 Summer Olympics
David Greene,United Kingdom,2012 Summer Olympics
Tamas Molnar,Hungary,2004 Summer Olympics
Ihab Abdelrahman El Sayed,Egypt,2012 Summer Olympics
Daniel Sturridge,United Kingdom,2012 Summer Olympics
Levan Zhorzholiani,Georgia,2012 Summer Olympics
Lucia Bosetti,Italy,2012 Summer Olympics
Yuliya Efimova,Russia,2012 Summer Olympics
